user_id,group_name,group_type,granted_utc
U028,ALL-Staff,m365,2025-08-24
U028,CMS-Editors,m365,2022-08-10
U029,ALL-Staff,m365,2026-04-28
U029,Logistics-Tools,m365,2023-11-26
U030,ALL-Staff,m365,2023-12-17
U030,ENG-All,m365,2024-07-30
U031,ALL-Staff,m365,2026-05-29
U031,LEAD-All,m365,2022-11-03
U031,Board-Reports,m365,2025-06-16
U032,ALL-Staff,m365,2026-02-24
U032,CMS-Editors,m365,2024-12-22
U032,MKT-All,m365,2024-07-27
U033,ALL-Staff,m365,2025-11-22
U033,ERP-Users,m365,2025-01-28
U033,FIN-All,m365,2025-07-16
U034,ALL-Staff,m365,2023-03-13
U034,SALES-All,m365,2024-02-08
U034,CRM-Users,m365,2024-08-08
U035,ALL-Staff,m365,2024-05-19
U035,Research-Tools,m365,2023-04-23
U035,COMP-All,m365,2025-06-22
U036,ALL-Staff,m365,2026-07-13
U036,LEAD-All,m365,2023-08-17
U036,Board-Reports,m365,2023-07-10
U037,ALL-Staff,m365,2024-02-14
U037,Logistics-Tools,m365,2026-02-23
U038,ALL-Staff,m365,2024-11-08
U038,ERP-Users,m365,2023-09-12
U038,FIN-All,m365,2024-10-21
U039,ALL-Staff,m365,2022-08-19
U039,CRM-Users,m365,2024-11-18
U039,SALES-All,m365,2023-06-07
U040,ALL-Staff,m365,2024-03-07
U040,LEAD-All,m365,2022-10-24
U041,ALL-Staff,m365,2024-04-06
U041,LEAD-All,m365,2023-06-20
U041,Board-Reports,m365,2026-07-16
U042,ALL-Staff,m365,2024-02-17
U042,CMS-Editors,m365,2023-04-16
U042,MKT-All,m365,2023-02-20
U043,ALL-Staff,m365,2024-01-23
U043,CMS-Editors,m365,2022-10-02
U043,MKT-All,m365,2025-05-05
U044,ALL-Staff,m365,2024-12-12
U044,LEAD-All,m365,2023-08-26
U044,Board-Reports,m365,2022-10-26
U045,ALL-Staff,m365,2022-10-08
U045,SALES-All,m365,2024-10-19
U045,CRM-Users,m365,2025-04-12
U046,ALL-Staff,m365,2026-05-27
U046,COMP-All,m365,2026-04-13
U047,ALL-Staff,m365,2023-02-11
U047,GH-Developers,m365,2026-02-17
U048,ALL-Staff,m365,2022-08-20
U048,HRIS-Admins,security,2024-05-21
U048,PC-All,m365,2023-10-08
U049,ALL-Staff,m365,2022-11-11
U049,OPS-All,m365,2022-09-07
U049,Logistics-Tools,m365,2026-07-05
U050,ALL-Staff,m365,2025-04-24
U050,Logistics-Tools,m365,2025-07-21
U051,ALL-Staff,m365,2025-11-10
U051,COMP-All,m365,2023-12-25
U051,Research-Tools,m365,2025-10-16
U052,ALL-Staff,m365,2023-02-08
U052,HRIS-Admins,security,2023-09-17
U052,PC-All,m365,2024-02-24
U053,ALL-Staff,m365,2024-01-07
U053,ENG-All,m365,2025-02-01
U053,GH-Developers,m365,2025-02-25
U054,ALL-Staff,m365,2024-12-31
U054,HRIS-Admins,security,2024-01-28
U054,PC-All,m365,2026-02-08
U055,ALL-Staff,m365,2024-08-28
U055,LEAD-All,m365,2024-09-30
U055,Board-Reports,m365,2023-07-06
U056,ALL-Staff,m365,2025-09-11
U056,FIN-All,m365,2025-03-30
U057,ALL-Staff,m365,2026-03-07
U057,SALES-All,m365,2024-03-19
U057,CRM-Users,m365,2024-04-03
U058,ALL-Staff,m365,2026-03-11
U058,Board-Reports,m365,2025-05-19
U058,LEAD-All,m365,2024-03-08
U059,ALL-Staff,m365,2023-11-13
U059,COMP-All,m365,2026-07-04
U059,Research-Tools,m365,2024-07-26
U060,ALL-Staff,m365,2023-07-10
U060,Logistics-Tools,m365,2023-06-24
U060,OPS-All,m365,2023-02-27
U061,ALL-Staff,m365,2025-04-23
U061,GH-Developers,m365,2025-01-04
U062,ALL-Staff,m365,2024-05-11
U062,CMS-Editors,m365,2024-08-27
U062,MKT-All,m365,2022-10-16
U063,ALL-Staff,m365,2025-10-28
U063,OPS-All,m365,2023-01-19
U063,Logistics-Tools,m365,2023-07-19
U064,ALL-Staff,m365,2023-03-22
U064,Board-Reports,m365,2023-05-18
U065,ALL-Staff,m365,2022-12-08
U065,ENG-All,m365,2024-02-20
U066,ALL-Staff,m365,2025-07-09
U066,GH-Developers,m365,2026-04-05
U067,ALL-Staff,m365,2025-05-09
U067,Logistics-Tools,m365,2023-12-28
U067,OPS-All,m365,2024-09-15
U068,ALL-Staff,m365,2024-03-05
U068,GH-Developers,m365,2025-02-15
U068,PROD-Deploy,m365,2026-01-30
U069,ALL-Staff,m365,2024-07-30
U069,SALES-All,m365,2025-04-13
U069,CRM-Users,m365,2022-11-23
U070,ALL-Staff,m365,2026-05-14
U070,COMP-All,m365,2025-02-25
U071,ALL-Staff,m365,2023-01-21
U071,ENG-All,m365,2025-09-07
U072,ALL-Staff,m365,2023-11-20
U072,FIN-All,m365,2022-10-14
U073,ALL-Staff,m365,2023-12-07
U073,FIN-All,m365,2022-08-14
U065,SEC-PrivilegedAccess,security,2025-02-07
U066,SEC-PrivilegedAccess,security,2024-06-21
U071,SEC-PrivilegedAccess,security,2025-08-07
U065,PROD-Admins,security,2023-02-22
U073,Finance-Approvers,security,2023-02-19
U073,Finance-Auditors,security,2025-11-24
